candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,neg_burrows,burrows_delta,distinct_1,distinct_2,dual_repaired,dist_c1_centroid,heldout_fidelity,copy_rate,copy_flag
C3_full_p00_k0,C3,full,p00,0,-0.3842,-1.8029,1.8029,0.5636,0.8802,0.369,0.4584,0.059886,0.0383,False
C3_full_p00_k1,C3,full,p00,1,0.1591,-2.0187,2.0187,0.5272,0.8933,0.3481,0.4776,0.060481,0.0371,False
C2_full_p00_k0,C2,full,p00,0,0.0521,-1.974,1.974,0.5635,0.9169,0.3752,0.482,0.038865,,
C2_full_p00_k1,C2,full,p00,1,-1.5979,-1.7634,1.7634,0.5751,0.9362,0.3199,0.4642,0.048087,,
C2_full_p00_k2,C2,full,p00,2,-1.4737,-1.968,1.968,0.5758,0.9309,0.3776,0.5084,0.054284,,
C2_full_p00_k3,C2,full,p00,3,-0.5334,-1.8331,1.8331,0.5849,0.9372,0.361,0.5052,0.045303,,
C2_full_p00_k4,C2,full,p00,4,-2.3013,-1.8657,1.8657,0.6043,0.9565,0.2718,0.4627,0.048341,,
C2_full_p00_k5,C2,full,p00,5,-0.3564,-1.9183,1.9183,0.5812,0.9517,0.3544,0.5308,0.053371,,
C2_full_p00_k6,C2,full,p00,6,-0.9211,-1.9302,1.9302,0.5781,0.9243,0.3554,0.497,0.037048,,
C2_full_p00_k7,C2,full,p00,7,-1.1219,-1.9704,1.9704,0.5822,0.9243,0.3525,0.4573,0.032003,,
C2_full_p01_k0,C2,full,p01,0,-1.4133,-1.9906,1.9906,0.5792,0.9375,0.4875,0.4635,0.041966,,
C2_full_p01_k1,C2,full,p01,1,-2.4583,-1.8331,1.8331,0.5957,0.9627,0.4481,0.4353,0.061691,,
C2_full_p01_k2,C2,full,p01,2,-1.8243,-1.8902,1.8902,0.5849,0.9568,0.4809,0.4546,0.046565,,
C2_full_p01_k3,C2,full,p01,3,-2.979,-2.0038,2.0038,0.5714,0.9297,0.498,0.4148,0.041482,,
C2_full_p01_k4,C2,full,p01,4,-3.651,-1.9378,1.9378,0.5722,0.941,0.5061,0.4829,0.041665,,
C2_full_p01_k5,C2,full,p01,5,-3.5622,-1.9721,1.9721,0.5573,0.9243,0.5252,0.4567,0.029151,,
C2_full_p01_k6,C2,full,p01,6,-2.951,-1.7957,1.7957,0.5741,0.9486,0.4447,0.3909,0.046587,,
C2_full_p01_k7,C2,full,p01,7,-1.9594,-1.8312,1.8312,0.6168,0.9455,0.4541,0.39,0.048304,,
C2_full_p02_k0,C2,full,p02,0,-5.1196,-1.8801,1.8801,0.5796,0.9188,0.3621,0.59,0.069947,,
C2_full_p02_k1,C2,full,p02,1,-4.5818,-2.0104,2.0104,0.5813,0.9519,0.2584,0.5793,0.041806,,
C2_full_p02_k2,C2,full,p02,2,-7.0844,-2.1248,2.1248,0.5756,0.9495,0.2753,0.5318,0.061045,,
C2_full_p02_k3,C2,full,p02,3,-6.1314,-2.0827,2.0827,0.5535,0.933,0.2932,0.5357,0.059084,,
C2_full_p02_k4,C2,full,p02,4,-4.1827,-1.8539,1.8539,0.5692,0.9372,0.2372,0.601,0.046707,,
C2_full_p02_k5,C2,full,p02,5,-5.2953,-1.9511,1.9511,0.5518,0.9325,0.2663,0.5522,0.055811,,
C2_full_p02_k6,C2,full,p02,6,-3.6958,-1.9635,1.9635,0.5881,0.9402,0.2949,0.5593,0.032867,,
C2_full_p02_k7,C2,full,p02,7,-3.0051,-1.9326,1.9326,0.5913,0.9407,0.2775,0.5268,0.042243,,
C2_full_p03_k3,C2,full,p03,3,-6.0688,-1.9436,1.9436,0.5842,0.9673,0.3894,0.4584,0.050292,,
C2_full_p03_k1,C2,full,p03,1,-3.7904,-1.8686,1.8686,0.6233,0.9375,0.445,0.4445,0.056759,,
C2_full_p03_k4,C2,full,p03,4,-3.3848,-1.9978,1.9978,0.5878,0.9333,0.4332,0.5085,0.049591,,
C2_full_p03_k2,C2,full,p03,2,-3.9822,-1.7546,1.7546,0.5942,0.9291,0.4404,0.5547,0.034627,,
