output_id,condition,ablation,prompt_id,heldout_fidelity
C1_none_p00,C1,none,p00,0.04862995536494896
C1_none_p01,C1,none,p01,0.04027641082144162
C1_none_p02,C1,none,p02,0.04595749212928357
C1_none_p03,C1,none,p03,0.04355801302005158
C1_none_p04,C1,none,p04,0.06676311463151019
C1_none_p05,C1,none,p05,0.05661898668077381
C1_none_p06,C1,none,p06,0.03881322343730098
C1_none_p07,C1,none,p07,0.06170503221561474
C1_none_p08,C1,none,p08,0.03675218147868087
C1_none_p09,C1,none,p09,0.048069284309262605
C1_none_p10,C1,none,p10,0.0372964394391716
C1_none_p11,C1,none,p11,0.050688341883543764
C1_none_p12,C1,none,p12,0.031132435423420257
C1_none_p13,C1,none,p13,0.041536934329287956
C1_none_p14,C1,none,p14,0.025883778696590976
C1_none_p15,C1,none,p15,0.04738804086196691
C2_full_p00,C2,full,p00,0.04087459843053409
C2_full_p01,C2,full,p01,0.04117482414813123
C2_full_p02,C2,full,p02,0.06417609904310795
C2_full_p03,C2,full,p03,0.053551682691227565
C2_full_p04,C2,full,p04,0.04301031730795202
C2_full_p05,C2,full,p05,0.04588402076931519
C2_full_p06,C2,full,p06,0.03781643785021416
C2_full_p07,C2,full,p07,0.059992980138413254
C2_full_p08,C2,full,p08,0.04193791113460943
C2_full_p09,C2,full,p09,0.047327409959224354
C2_full_p10,C2,full,p10,0.04475634741046741
C2_full_p11,C2,full,p11,0.045884907071846226
C2_full_p12,C2,full,p12,0.014416398128970331
C2_full_p13,C2,full,p13,0.05070461899748957
C2_full_p14,C2,full,p14,0.03597005077330573
C2_full_p15,C2,full,p15,0.03775048770219591
C2_none_p00,C2,none,p00,0.03164180749498857
C2_none_p01,C2,none,p01,0.029009471057806602
C2_none_p02,C2,none,p02,0.04570609425990746
C2_none_p03,C2,none,p03,0.038064082429603685
C2_none_p04,C2,none,p04,0.014240630077759997
C2_none_p05,C2,none,p05,0.02770036612425475
C2_none_p06,C2,none,p06,0.02262003956042624
C2_none_p07,C2,none,p07,0.05324977770867001
C2_none_p08,C2,none,p08,0.029948365380877084
C2_none_p09,C2,none,p09,0.044287448346524316
C2_none_p10,C2,none,p10,0.02985611230309737
C2_none_p11,C2,none,p11,0.03243437204978583
C2_none_p12,C2,none,p12,0.04784429092881404
C2_none_p13,C2,none,p13,0.029870417484621492
C2_none_p14,C2,none,p14,0.018537635744695913
C2_none_p15,C2,none,p15,0.03480506552418705
C3_full_p00,C3,full,p00,0.04523195326667673
C3_full_p01,C3,full,p01,0.05021358260611297
C3_full_p02,C3,full,p02,0.03137984917972059
C3_full_p03,C3,full,p03,0.05836998923753478
C3_full_p04,C3,full,p04,0.04505265867837982
C3_full_p05,C3,full,p05,0.06018617066514609
C3_full_p06,C3,full,p06,0.04992394615474072
C3_full_p07,C3,full,p07,0.05172555135591328
C3_full_p08,C3,full,p08,0.03626761796153788
C3_full_p09,C3,full,p09,0.02779235317249995
C3_full_p10,C3,full,p10,0.04146603792204118
C3_full_p11,C3,full,p11,0.047326767832495564
C3_full_p12,C3,full,p12,0.0452381510833918
C3_full_p13,C3,full,p13,0.04582279530340616
C3_full_p14,C3,full,p14,0.0332328641244678
C3_full_p15,C3,full,p15,0.045374894839122715
C3_none_p00,C3,none,p00,0.018071216210775343
C3_none_p01,C3,none,p01,0.033330145917757736
C3_none_p02,C3,none,p02,0.04808257070106936
C3_none_p03,C3,none,p03,0.04465971678937242
C3_none_p04,C3,none,p04,0.040672281724593695
C3_none_p05,C3,none,p05,0.0790658339004453
C3_none_p06,C3,none,p06,0.032238114351745284
C3_none_p07,C3,none,p07,0.05315714331220467
C3_none_p08,C3,none,p08,0.03230176385032324
C3_none_p09,C3,none,p09,0.019969598265183963
C3_none_p10,C3,none,p10,0.0156888625470325
C3_none_p11,C3,none,p11,0.037245943864510855
C3_none_p12,C3,none,p12,0.03151561423419902
C3_none_p13,C3,none,p13,0.04906644881167599
C3_none_p14,C3,none,p14,0.04071972723288564
C3_none_p15,C3,none,p15,0.03936781806936063
