output_id,calibrated_luar,burrows_delta,burrows_skipped
C1_none_p00,-2.7332,1.948,False
C1_none_p01,-7.5754,2.0168,False
C1_none_p02,-3.5059,1.9066,False
C1_none_p03,-11.6663,1.9977,False
C1_none_p04,-8.5992,2.0178,False
C1_none_p05,-1.8446,2.0732,False
C1_none_p06,-5.6417,1.9286,False
C1_none_p07,-7.5238,1.9683,False
C1_none_p08,-7.7021,2.136,False
C1_none_p09,-11.6014,2.0866,False
C1_none_p10,-7.9094,1.9908,False
C1_none_p11,-9.1643,1.9956,False
C1_none_p12,-10.6939,1.888,False
C1_none_p13,-7.4519,2.0474,False
C1_none_p14,-10.1284,2.0179,False
C1_none_p15,-8.589,2.0508,False
C2_full_p00,-0.4115,1.8481,False
C2_full_p01,-0.0799,2.0206,False
C2_full_p02,-3.6705,1.8901,False
C2_full_p03,-8.0835,1.9052,False
C2_full_p04,-3.4502,2.0273,False
C2_full_p05,-2.0373,1.9595,False
C2_full_p06,-1.5399,2.0684,False
C2_full_p07,-2.5614,1.9595,False
C2_full_p08,-4.687,1.9191,False
C2_full_p09,-3.1324,1.8674,False
C2_full_p10,-2.7075,1.8515,False
C2_full_p11,-4.4405,1.9871,False
C2_full_p12,-2.5242,1.9385,False
C2_full_p13,-3.5021,1.8359,False
C2_full_p14,-2.0473,1.7564,False
C2_full_p15,-3.4511,2.0111,False
C2_none_p00,-1.8001,2.1628,False
C2_none_p01,-6.7647,1.9149,False
C2_none_p02,-4.8768,1.8299,False
C2_none_p03,-7.2009,1.9502,False
C2_none_p04,-3.9751,2.051,False
C2_none_p05,-2.6164,1.9697,False
C2_none_p06,-3.778,2.0958,False
C2_none_p07,-4.2132,2.0533,False
C2_none_p08,-10.0968,2.081,False
C2_none_p09,-11.2725,1.9731,False
C2_none_p10,-9.2973,1.8522,False
C2_none_p11,-8.7213,2.0662,False
C2_none_p12,-8.7039,1.9545,False
C2_none_p13,-8.4422,2.1093,False
C2_none_p14,-7.4745,1.8863,False
C2_none_p15,-4.9061,2.0646,False
C3_full_p00,-1.2522,1.8825,False
C3_full_p01,-3.2458,1.7284,False
C3_full_p02,-2.4694,1.793,False
C3_full_p03,-4.6345,1.8239,False
C3_full_p04,-2.8601,2.0061,False
C3_full_p05,-1.3522,1.8578,False
C3_full_p06,-2.5085,1.7776,False
C3_full_p07,-3.1748,1.9292,False
C3_full_p08,-1.4891,2.0047,False
C3_full_p09,-3.6192,1.9165,False
C3_full_p10,-3.9121,1.7521,False
C3_full_p11,-3.0294,1.9383,False
C3_full_p12,-4.7022,2.0481,False
C3_full_p13,-0.5548,1.9796,False
C3_full_p14,-4.4798,1.9684,False
C3_full_p15,-2.656,1.9279,False
C3_none_p00,-6.2059,2.0324,False
C3_none_p01,-9.3072,1.8024,False
C3_none_p02,-6.5992,1.954,False
C3_none_p03,-2.962,1.7795,False
C3_none_p04,-5.8079,1.8648,False
C3_none_p05,-1.7727,2.0001,False
C3_none_p06,-3.0258,1.9211,False
C3_none_p07,-8.0865,2.0408,False
C3_none_p08,-2.4072,1.9063,False
C3_none_p09,-3.6441,1.8288,False
C3_none_p10,-4.1932,1.8417,False
C3_none_p11,-6.2954,1.9167,False
C3_none_p12,-3.9289,1.9982,False
C3_none_p13,-9.3537,1.9357,False
C3_none_p14,-7.4086,1.8811,False
C3_none_p15,-2.607,1.9602,False
