proxy,ablation,condition,n,mean,ci_lo,ci_hi
calibrated_luar,none,C1,16,-7.6457,-9.01,-6.2093
calibrated_luar,none,C2,16,-6.5087,-7.8498,-5.1488
calibrated_luar,none,C3,16,-5.2253,-6.4267,-4.0689
calibrated_luar,full,C2,16,-3.0204,-3.9759,-2.1812
calibrated_luar,full,C3,16,-2.8713,-3.4585,-2.2683
neg_burrows,none,C1,16,-2.0044,-2.0361,-1.9732
neg_burrows,none,C2,16,-2.0009,-2.0477,-1.9539
neg_burrows,none,C3,16,-1.9165,-1.9537,-1.8791
neg_burrows,full,C2,16,-1.9279,-1.9678,-1.8869
neg_burrows,full,C3,16,-1.8959,-1.9414,-1.8488
llm_judge_fidelity,none,C2,16,2.6875,2.4375,2.875
llm_judge_fidelity,none,C3,16,3.0,3.0,3.0
llm_judge_fidelity,full,C2,16,3.125,3.0,3.3125
llm_judge_fidelity,full,C3,16,3.1875,3.0,3.375
dual,none,C1,16,0.5615,0.5299,0.5946
dual,none,C2,16,0.6198,0.5776,0.661
dual,none,C3,16,0.4113,0.3711,0.4489
dual,full,C2,16,0.6351,0.6065,0.6634
dual,full,C3,16,0.4666,0.439,0.4936
distinct_2,none,C1,16,0.9607,0.9541,0.9669
distinct_2,none,C2,16,0.9462,0.9376,0.954
distinct_2,none,C3,16,0.9285,0.9171,0.9388
distinct_2,full,C2,16,0.9343,0.9273,0.9409
distinct_2,full,C3,16,0.9242,0.9136,0.9329
llm_judge_novelty,none,C2,16,3.75,3.5,4.0
llm_judge_novelty,none,C3,16,2.8125,2.5625,3.0625
llm_judge_novelty,full,C2,16,3.25,3.0625,3.5
llm_judge_novelty,full,C3,16,3.25,3.0625,3.5
