output_id,dist_nearest_chunk,dist_c1_centroid,dual,distinct_1,distinct_2
C1_none_p00,1.0,0.5849,0.7381,0.6912,0.9773
C1_none_p01,1.0,0.3689,0.5389,0.6349,0.9788
C1_none_p02,1.0,0.4623,0.6323,0.626,0.9583
C1_none_p03,1.0,0.3691,0.5392,0.6631,0.9759
C1_none_p04,1.0,0.3658,0.5356,0.6194,0.9632
C1_none_p05,1.0,0.3332,0.4999,0.5924,0.9564
C1_none_p06,1.0,0.346,0.5141,0.5812,0.9475
C1_none_p07,1.0,0.3624,0.532,0.601,0.959
C1_none_p08,1.0,0.4018,0.5733,0.5875,0.9555
C1_none_p09,1.0,0.2782,0.4353,0.615,0.9482
C1_none_p10,1.0,0.4239,0.5954,0.6237,0.9736
C1_none_p11,1.0,0.3908,0.562,0.6349,0.9788
C1_none_p12,1.0,0.4019,0.5734,0.6393,0.9521
C1_none_p13,1.0,0.4391,0.6102,0.622,0.9526
C1_none_p14,1.0,0.3342,0.501,0.592,0.9626
C1_none_p15,1.0,0.4327,0.604,0.5699,0.9312
C2_full_p00,1.0,0.4903,0.658,0.6005,0.957
C2_full_p01,1.0,0.4971,0.6641,0.6064,0.9467
C2_full_p02,1.0,0.6349,0.7767,0.5858,0.9418
C2_full_p03,1.0,0.5417,0.7027,0.5729,0.9086
C2_full_p04,1.0,0.4149,0.5865,0.5938,0.9459
C2_full_p05,1.0,0.4527,0.6233,0.5643,0.9289
C2_full_p06,1.0,0.4171,0.5887,0.6145,0.939
C2_full_p07,1.0,0.4372,0.6084,0.5884,0.918
C2_full_p08,1.0,0.4783,0.6471,0.5932,0.9474
C2_full_p09,1.0,0.3565,0.5257,0.5564,0.9177
C2_full_p10,1.0,0.4834,0.6517,0.5914,0.9353
C2_full_p11,1.0,0.3776,0.5482,0.5287,0.9125
C2_full_p12,1.0,0.5005,0.6671,0.5894,0.9272
C2_full_p13,1.0,0.5083,0.674,0.5787,0.9305
C2_full_p14,1.0,0.4264,0.5979,0.5737,0.9462
C2_full_p15,1.0,0.4725,0.6417,0.5876,0.9459
C2_none_p00,1.0,0.5912,0.7431,0.5886,0.9536
C2_none_p01,1.0,0.4661,0.6359,0.5627,0.9274
C2_none_p02,1.0,0.561,0.7188,0.5974,0.9505
C2_none_p03,1.0,0.4753,0.6443,0.5942,0.9475
C2_none_p04,1.0,0.4183,0.5899,0.5957,0.9627
C2_none_p05,1.0,0.5065,0.6724,0.5812,0.916
C2_none_p06,1.0,0.4182,0.5898,0.6111,0.9677
C2_none_p07,1.0,0.3486,0.517,0.5442,0.9167
C2_none_p08,1.0,0.4549,0.6254,0.5677,0.9191
C2_none_p09,1.0,0.3447,0.5127,0.5619,0.9504
C2_none_p10,1.0,0.4162,0.5878,0.5909,0.9491
C2_none_p11,1.0,0.2802,0.4377,0.6328,0.9608
C2_none_p12,1.0,0.4844,0.6527,0.57,0.9617
C2_none_p13,1.0,0.6043,0.7534,0.5788,0.9397
C2_none_p14,1.0,0.3974,0.5688,0.6149,0.9641
C2_none_p15,1.0,0.5012,0.6677,0.5635,0.9529
C3_full_p00,0.3706,0.5233,0.4339,0.5319,0.8693
C3_full_p01,0.6984,0.4639,0.5574,0.5722,0.9112
C3_full_p02,0.313,0.6815,0.429,0.5526,0.927
C3_full_p03,0.5589,0.5837,0.571,0.5873,0.9443
C3_full_p04,0.4487,0.3669,0.4037,0.5718,0.9457
C3_full_p05,0.3699,0.443,0.4032,0.5923,0.9475
C3_full_p06,0.5127,0.4192,0.4613,0.5443,0.9112
C3_full_p07,0.2947,0.4259,0.3484,0.5672,0.9272
C3_full_p08,0.4455,0.5286,0.4835,0.552,0.9144
C3_full_p09,0.5014,0.4978,0.4996,0.5394,0.9031
C3_full_p10,0.3729,0.5288,0.4374,0.5664,0.9293
C3_full_p11,0.5404,0.4545,0.4938,0.5838,0.9458
C3_full_p12,0.4347,0.4939,0.4624,0.5469,0.9409
C3_full_p13,0.3982,0.5921,0.4761,0.5558,0.9297
C3_full_p14,0.6204,0.4251,0.5045,0.5314,0.916
C3_full_p15,0.5197,0.4821,0.5002,0.5745,0.9239
C3_none_p00,0.3286,0.5542,0.4126,0.5426,0.9117
C3_none_p01,0.5532,0.4275,0.4823,0.5782,0.93
C3_none_p02,0.1637,0.5435,0.2516,0.5745,0.9511
C3_none_p03,0.2758,0.5627,0.3702,0.5914,0.938
C3_none_p04,0.453,0.3809,0.4138,0.5669,0.9155
C3_none_p05,0.1971,0.3617,0.2551,0.5351,0.915
C3_none_p06,0.667,0.4908,0.5655,0.563,0.9029
C3_none_p07,0.2971,0.4898,0.3699,0.5798,0.9579
C3_none_p08,0.3774,0.4986,0.4296,0.5599,0.9358
C3_none_p09,0.5138,0.3806,0.4373,0.5696,0.9474
C3_none_p10,0.4856,0.4706,0.478,0.5727,0.9435
C3_none_p11,0.3747,0.3489,0.3613,0.5577,0.9256
C3_none_p12,0.3747,0.6066,0.4632,0.5013,0.8737
C3_none_p13,0.2773,0.4919,0.3547,0.5703,0.9566
C3_none_p14,0.6203,0.3973,0.4844,0.5962,0.9449
C3_none_p15,0.4578,0.4439,0.4507,0.5068,0.9071
