candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,distinct_2,neg_burrows,bigram_echo,trigram_echo,token_jaccard,cell
C3_full_p00_k0,C3,full,p00,0,-0.3842,0.8802,-1.8029,0.1793313069908814,0.0914127423822714,0.1991869918699187,C3_full_p00
C3_full_p00_k1,C3,full,p00,1,0.1591,0.8933,-2.0187,0.1959654178674351,0.0846560846560846,0.2016460905349794,C3_full_p00
C3_full_p00_k3,C3,full,p00,3,-0.3645,0.8901,-1.9092,0.155688622754491,0.073972602739726,0.1754032258064516,C3_full_p00
C3_full_p00_k2,C3,full,p00,2,-1.5036,0.9354,-1.9181,0.1864406779661017,0.088,0.1952191235059761,C3_full_p00
C3_full_p00_k4,C3,full,p00,4,-2.6235,0.9077,-1.8583,0.1745562130177514,0.0573770491803278,0.2240325865580448,C3_full_p00
C3_full_p00_k5,C3,full,p00,5,-0.8344,0.9188,-1.8246,0.170807453416149,0.0666666666666666,0.1978947368421052,C3_full_p00
C3_full_p00_k6,C3,full,p00,6,-0.6385,0.9081,-1.9751,0.1661538461538461,0.0762711864406779,0.1920668058455114,C3_full_p00
C3_full_p00_k7,C3,full,p00,7,-1.5832,0.8747,-1.8418,0.2332268370607028,0.1289398280802292,0.2020833333333333,C3_full_p00
C3_full_p01_k0,C3,full,p01,0,-2.5006,0.9272,-1.8945,0.0960960960960961,0.0112359550561797,0.1657142857142857,C3_full_p01
C3_full_p01_k3,C3,full,p01,3,-2.2601,0.9295,-1.9004,0.0728862973760933,0.0054794520547945,0.1465677179962894,C3_full_p01
C3_full_p01_k2,C3,full,p01,2,-1.8353,0.9219,-1.9578,0.0932944606413994,0.0081521739130434,0.1591760299625468,C3_full_p01
C3_full_p01_k1,C3,full,p01,1,-2.3813,0.9149,-1.9657,0.0621301775147929,0.002770083102493,0.1468401486988847,C3_full_p01
C3_full_p01_k4,C3,full,p01,4,-2.7998,0.9435,-1.9056,0.087719298245614,0.0112359550561797,0.1517367458866544,C3_full_p01
C3_full_p01_k5,C3,full,p01,5,-0.972,0.9259,-1.9358,0.1114369501466275,0.0221606648199446,0.1575984990619137,C3_full_p01
C3_full_p01_k6,C3,full,p01,6,-3.618,0.8859,-1.9327,0.1042944785276073,0.0366197183098591,0.1567164179104477,C3_full_p01
C3_full_p01_k7,C3,full,p01,7,-1.8499,0.941,-2.0638,0.136231884057971,0.0549450549450549,0.1726078799249531,C3_full_p01
C3_full_p02_k0,C3,full,p02,0,-3.2362,0.9434,-1.8638,0.2609970674486803,0.1527777777777778,0.2474226804123711,C3_full_p02
C3_full_p02_k3,C3,full,p02,3,-3.1407,0.9256,-1.684,0.2528409090909091,0.1443850267379679,0.2582644628099173,C3_full_p02
C3_full_p02_k2,C3,full,p02,2,-1.6579,0.9495,-1.9012,0.28328611898017,0.1554959785522788,0.2655601659751037,C3_full_p02
C3_full_p02_k1,C3,full,p02,1,-2.5737,0.9032,-2.0008,0.2966360856269113,0.1456582633053221,0.251063829787234,C3_full_p02
C3_full_p02_k4,C3,full,p02,4,-2.3572,0.942,-1.8361,0.3142857142857143,0.1983695652173913,0.2770833333333333,C3_full_p02
C3_full_p02_k5,C3,full,p02,5,-3.4617,0.9377,-1.7698,0.3011363636363636,0.1876675603217158,0.2484472049689441,C3_full_p02
C3_full_p02_k6,C3,full,p02,6,-2.6632,0.952,-1.7919,0.2371967654986523,0.1038961038961039,0.2575452716297787,C3_full_p02
C3_full_p02_k7,C3,full,p02,7,-2.7837,0.9542,-1.8252,0.3602305475504322,0.2225274725274725,0.2978723404255319,C3_full_p02
C3_full_p03_k0,C3,full,p03,0,-1.8658,0.9302,-1.7522,0.2592592592592592,0.1078167115902965,0.24950884086444,C3_full_p03
C3_full_p03_k1,C3,full,p03,1,-2.7361,0.9365,-1.8704,0.2347826086956521,0.1068493150684931,0.2553606237816764,C3_full_p03
C3_full_p03_k3,C3,full,p03,3,-1.1615,0.9477,-1.8651,0.2259036144578313,0.1196581196581196,0.2126436781609195,C3_full_p03
C3_full_p03_k2,C3,full,p03,2,-2.5855,0.9301,-1.8865,0.178470254957507,0.0702702702702702,0.2237093690248566,C3_full_p03
C3_full_p03_k4,C3,full,p03,4,-3.6556,0.9365,-1.9565,0.1884057971014492,0.0549450549450549,0.2095238095238095,C3_full_p03
C3_full_p03_k6,C3,full,p03,6,-3.3206,0.9477,-1.8997,0.2477611940298507,0.1025641025641025,0.2490196078431372,C3_full_p03
C3_full_p03_k5,C3,full,p03,5,-2.1754,0.9347,-1.773,0.1753424657534246,0.0859375,0.2290502793296089,C3_full_p03
C3_full_p03_k7,C3,full,p03,7,-2.6835,0.9495,-1.744,0.154054054054054,0.0441558441558441,0.2176360225140713,C3_full_p03
C3_full_p04_k0,C3,full,p04,0,-2.4187,0.904,-1.8192,0.1171171171171171,0.0247252747252747,0.1796407185628742,C3_full_p04
C3_full_p04_k1,C3,full,p04,1,-4.9136,0.9335,-1.8989,0.0771513353115727,0.0027472527472527,0.15234375,C3_full_p04
C3_full_p04_k3,C3,full,p04,3,-4.8472,0.9393,-1.8732,0.1188405797101449,0.0272479564032697,0.1772908366533864,C3_full_p04
C3_full_p04_k2,C3,full,p04,2,-3.5825,0.9231,-1.7072,0.1272189349112426,0.0246575342465753,0.1611001964636542,C3_full_p04
C3_full_p04_k5,C3,full,p04,5,-4.8268,0.9249,-1.8195,0.0895522388059701,0.0165745856353591,0.1666666666666666,C3_full_p04
C3_full_p04_k6,C3,full,p04,6,-1.6979,0.9319,-1.9398,0.175438596491228,0.062330623306233,0.198,C3_full_p04
